Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
0	03/25/26 18:01:27.515	03/25/26 18:01:27.515	0.0000	ALL	Started Recording
1	03/25/26 18:01:27.706	03/25/26 18:01:27.706	0.1912	EEG1	TTL 3: Fall
2	03/25/26 18:01:27.706	03/25/26 18:01:27.706	0.1912	EEG2	TTL 3: Fall
3	03/25/26 18:01:27.706	03/25/26 18:01:27.706	0.1912	EMG	TTL 3: Fall
4	03/25/26 18:01:30.701	03/25/26 18:01:30.701	3.1862	EEG1	TTL 3: Rise
5	03/25/26 18:01:30.701	03/25/26 18:01:30.701	3.1862	EEG2	TTL 3: Rise
6	03/25/26 18:01:30.701	03/25/26 18:01:30.701	3.1862	EMG	TTL 3: Rise
7	03/25/26 18:01:31.702	03/25/26 18:01:31.702	4.1872	EEG1	TTL 3: Fall
8	03/25/26 18:01:31.702	03/25/26 18:01:31.702	4.1872	EEG2	TTL 3: Fall
9	03/25/26 18:01:31.702	03/25/26 18:01:31.702	4.1872	EMG	TTL 3: Fall
10	03/25/26 18:01:32.707	03/25/26 18:01:32.707	5.1921	EEG1	TTL 3: Rise
11	03/25/26 18:01:32.707	03/25/26 18:01:32.707	5.1921	EEG2	TTL 3: Rise
12	03/25/26 18:01:32.707	03/25/26 18:01:32.707	5.1921	EMG	TTL 3: Rise
13	03/25/26 18:01:33.712	03/25/26 18:01:33.712	6.1971	EEG1	TTL 3: Fall
14	03/25/26 18:01:33.712	03/25/26 18:01:33.712	6.1971	EEG2	TTL 3: Fall
15	03/25/26 18:01:33.712	03/25/26 18:01:33.712	6.1971	EMG	TTL 3: Fall
16	03/25/26 18:01:33.820	03/25/26 18:01:33.820	6.3051	EEG1	TTL 3: Rise
17	03/25/26 18:01:33.820	03/25/26 18:01:33.820	6.3051	EEG2	TTL 3: Rise
18	03/25/26 18:01:33.820	03/25/26 18:01:33.820	6.3051	EMG	TTL 3: Rise
19	03/25/26 18:01:33.858	03/25/26 18:01:33.858	6.3428	EEG1	TTL 3: Fall
20	03/25/26 18:01:33.858	03/25/26 18:01:33.858	6.3428	EEG2	TTL 3: Fall
21	03/25/26 18:01:33.858	03/25/26 18:01:33.858	6.3428	EMG	TTL 3: Fall
22	03/25/26 18:01:34.860	03/25/26 18:01:34.860	7.3452	EEG1	TTL 3: Rise
23	03/25/26 18:01:34.860	03/25/26 18:01:34.860	7.3452	EEG2	TTL 3: Rise
24	03/25/26 18:01:34.860	03/25/26 18:01:34.860	7.3452	EMG	TTL 3: Rise
25	03/25/26 18:01:35.860	03/25/26 18:01:35.860	8.3454	EEG1	TTL 3: Fall
26	03/25/26 18:01:35.860	03/25/26 18:01:35.860	8.3454	EEG2	TTL 3: Fall
27	03/25/26 18:01:35.860	03/25/26 18:01:35.860	8.3454	EMG	TTL 3: Fall
28	03/25/26 18:01:36.863	03/25/26 18:01:36.863	9.3477	EEG1	TTL 3: Rise
29	03/25/26 18:01:36.863	03/25/26 18:01:36.863	9.3477	EEG2	TTL 3: Rise
30	03/25/26 18:01:36.863	03/25/26 18:01:36.863	9.3477	EMG	TTL 3: Rise
31	03/25/26 18:01:37.865	03/25/26 18:01:37.865	10.3500	EEG1	TTL 3: Fall
32	03/25/26 18:01:37.865	03/25/26 18:01:37.865	10.3500	EEG2	TTL 3: Fall
33	03/25/26 18:01:37.865	03/25/26 18:01:37.865	10.3500	EMG	TTL 3: Fall
34	03/25/26 18:01:40.867	03/25/26 18:01:40.867	13.3519	EEG1	TTL 3: Rise
35	03/25/26 18:01:40.867	03/25/26 18:01:40.867	13.3519	EEG2	TTL 3: Rise
36	03/25/26 18:01:40.867	03/25/26 18:01:40.867	13.3519	EMG	TTL 3: Rise
